Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Kelvin Harmon (15801430),Kelvin Harmon,15801430,WR/FLEX,3100,WAS@ATL 11/19/2020 12:00PM ET,WAS,0
RB,Dion Lewis (15801354),Dion Lewis,15801354,RB/FLEX,3000,NYG@CLE 11/19/2020 02:00PM ET,NYG,0.2
RB,Wayne Gallman Jr. (15801364),Wayne Gallman Jr.,15801364,RB/FLEX,3000,NYG@CLE 11/19/2020 02:00PM ET,NYG,0
RB,D'Ernest Johnson (15801372),D'Ernest Johnson,15801372,RB/FLEX,3000,NYG@CLE 11/19/2020 02:00PM ET,CLE,0
RB,Andy Janovich (15801374),Andy Janovich,15801374,RB/FLEX,3000,NYG@CLE 11/19/2020 02:00PM ET,CLE,2.88
RB,Elijhaa Penny (15801376),Elijhaa Penny,15801376,RB/FLEX,3000,NYG@CLE 11/19/2020 02:00PM ET,NYG,1.2
WR,Damion Ratley (15801434),Damion Ratley,15801434,WR/FLEX,3000,NYG@CLE 11/19/2020 02:00PM ET,NYG,4.3
WR,KhaDarel Hodge (15801436),KhaDarel Hodge,15801436,WR/FLEX,3000,NYG@CLE 11/19/2020 02:00PM ET,CLE,0
WR,Johnny Holton (15801444),Johnny Holton,15801444,WR/FLEX,3000,NYG@CLE 11/19/2020 02:00PM ET,NYG,0
WR,Cody Core (15801452),Cody Core,15801452,WR/FLEX,3000,NYG@CLE 11/19/2020 02:00PM ET,NYG,0
WR,JoJo Natson (15801462),JoJo Natson,15801462,WR/FLEX,3000,NYG@CLE 11/19/2020 02:00PM ET,CLE,0
WR,C.J. Board (15801464),C.J. Board,15801464,WR/FLEX,3000,NYG@CLE 11/19/2020 02:00PM ET,NYG,0
WR,David Sills (15801470),David Sills,15801470,WR/FLEX,3000,NYG@CLE 11/19/2020 02:00PM ET,NYG,0
WR,Da'Mari Scott (15801472),Da'Mari Scott,15801472,WR/FLEX,3000,NYG@CLE 11/19/2020 02:00PM ET,NYG,0
RB,Alexander Mattison (15801358),Alexander Mattison,15801358,RB/FLEX,3000,LAR@MIN 11/19/2020 04:00PM ET,MIN,1.47
RB,Cam Akers (15801360),Cam Akers,15801360,RB/FLEX,3000,LAR@MIN 11/19/2020 04:00PM ET,LAR,0
RB,Ameer Abdullah (15801366),Ameer Abdullah,15801366,RB/FLEX,3000,LAR@MIN 11/19/2020 04:00PM ET,MIN,0
RB,Mike Boone (15801380),Mike Boone,15801380,RB/FLEX,3000,LAR@MIN 11/19/2020 04:00PM ET,MIN,0
RB,Xavier Jones (15801384),Xavier Jones,15801384,RB/FLEX,3000,LAR@MIN 11/19/2020 04:00PM ET,LAR,0
RB,Raymond Calais (15801386),Raymond Calais,15801386,RB/FLEX,3000,LAR@MIN 11/19/2020 04:00PM ET,LAR,0
RB,C.J. Ham (15801390),C.J. Ham,15801390,RB/FLEX,3000,LAR@MIN 11/19/2020 04:00PM ET,MIN,1.42
WR,Van Jefferson Jr. (15801432),Van Jefferson Jr.,15801432,WR/FLEX,3000,LAR@MIN 11/19/2020 04:00PM ET,LAR,7.1
WR,Olabisi Johnson (15801440),Olabisi Johnson,15801440,WR/FLEX,3000,LAR@MIN 11/19/2020 04:00PM ET,MIN,4.05
WR,Chad Beebe (15801446),Chad Beebe,15801446,WR/FLEX,3000,LAR@MIN 11/19/2020 04:00PM ET,MIN,0
WR,Trishton Jackson (15801450),Trishton Jackson,15801450,WR/FLEX,3000,LAR@MIN 11/19/2020 04:00PM ET,LAR,0
WR,K.J. Osborn (15801456),K.J. Osborn,15801456,WR/FLEX,3000,LAR@MIN 11/19/2020 04:00PM ET,MIN,0
WR,Nsimba Webster (15801458),Nsimba Webster,15801458,WR/FLEX,3000,LAR@MIN 11/19/2020 04:00PM ET,LAR,0
WR,Dan Chisena (15801468),Dan Chisena,15801468,WR/FLEX,3000,LAR@MIN 11/19/2020 04:00PM ET,MIN,0
RB,Ito Smith (15801356),Ito Smith,15801356,RB/FLEX,3000,WAS@ATL 11/19/2020 12:00PM ET,ATL,0
RB,Peyton Barber (15801362),Peyton Barber,15801362,RB/FLEX,3000,WAS@ATL 11/19/2020 12:00PM ET,WAS,1.53
RB,Bryce Love (15801368),Bryce Love,15801368,RB/FLEX,3000,WAS@ATL 11/19/2020 12:00PM ET,WAS,0
RB,Brian Hill (15801370),Brian Hill,15801370,RB/FLEX,3000,WAS@ATL 11/19/2020 12:00PM ET,ATL,0
RB,Antonio Gibson (15801378),Antonio Gibson,15801378,RB/FLEX,3000,WAS@ATL 11/19/2020 12:00PM ET,WAS,4.3
RB,Qadree Ollison (15801382),Qadree Ollison,15801382,RB/FLEX,3000,WAS@ATL 11/19/2020 12:00PM ET,ATL,0
RB,Keith Smith (15801388),Keith Smith,15801388,RB/FLEX,3000,WAS@ATL 11/19/2020 12:00PM ET,ATL,3.32
WR,Olamide Zaccheaus (15801438),Olamide Zaccheaus,15801438,WR/FLEX,3000,WAS@ATL 11/19/2020 12:00PM ET,ATL,2.85
WR,Antonio Gandy-Golden (15801442),Antonio Gandy-Golden,15801442,WR/FLEX,3000,WAS@ATL 11/19/2020 12:00PM ET,WAS,0
WR,Brandon Powell (15801448),Brandon Powell,15801448,WR/FLEX,3000,WAS@ATL 11/19/2020 12:00PM ET,ATL,2.3
